pst_max_depth,pst_max_leaf_nodes,pst_min_samples_leaf,pst_pop_size,pst_ngen,gate_expr_enable,pop_size,ngen,local_opt_steps,micro_mutation_prob,cv_proxy_weight,cv_proxy_weight_final,cv_proxy_warmup_frac,cv_proxy_subsample,cv_proxy_folds,typed_mode,typed_grouping,include_lgo_multi,include_lgo_and3,include_lgo_pair,pysr_niterations,pysr_population_size,pysr_populations,pysr_maxsize,pysr_timeout_in_seconds,pysr_parsimony,pysr_ncyclesperiteration,pysr_binary_operators,pysr_unary_operators,operon_generations,operon_population_size,operon_max_length,operon_max_evaluations,operon_tournament_size,operon_local_iterations,operon_allowed_symbols,max_fit_calls,max_time,max_complexity,sample_size,complexity_penalty,verbose
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,1000.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,40.0,1000.0,15.0,30.0,3600.0,0.001,550.0,"['+', '-', '*', '/']","['sqrt', 'exp', 'log', 'sin', 'cos']",500.0,1000.0,50.0,500000.0,5.0,5.0,"add,mul,aq,exp,log,sin,cos,sqrt,constant,variable",,,,,,
