pst_max_depth,pst_max_leaf_nodes,pst_min_samples_leaf,pst_pop_size,pst_ngen,gate_expr_enable,pop_size,ngen,local_opt_steps,micro_mutation_prob,cv_proxy_weight,cv_proxy_weight_final,cv_proxy_warmup_frac,cv_proxy_subsample,cv_proxy_folds,typed_mode,typed_grouping,include_lgo_multi,include_lgo_and3,include_lgo_pair,max_fit_calls,max_time,max_complexity,sample_size,complexity_penalty,verbose
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
10.0,32.0,20.0,600.0,80.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,,,,,,,,,,,,,,,,100000.0,3600.0,50.0,1.0,0.001,False
,,,,,True,800.0,100.0,150.0,0.2,0.15,0.3,0.7,0.3,2.0,light,none,True,True,False,,,,,,
